Inventory Code,Item,Current On Hand,CAS #,IFC Hazard Class,Physical State,HMIS Qty,HMIS Units,NFPA (H/F/R/Spec),Primary Chemical Name,Storage Code,Classification Notes,Inventory Link
C-085,Gelatin,,9000-70-8,NR,S,,,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.fishersci.com/store/msds?partNumber=G73&productDescription=GELATIN+GRAN+PUR+TYPE+B+3KG&vendorId=VN00033897&countryCode=US&language=en
C-086,Gelatin from Porcine Skin 90-110g Bloom,100g,9000-70-8,NR,S,0.2205,LB,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/g1890?srsltid=AfmBOop2Bn1kIYCxTfw_eFbr5SyVFpJdrlpwpLBRu5aAvZvY9D__sjzv
C-087,Gelatin from Porcine skin,500g (300 Bloom) + 100g + 100g,9000-70-8,NR,S,1.5432,LB,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/g1890?userType=anonymous
C-088,Gelatin from bovine skin,100g,9000-70-8,NR,S,0.2205,LB,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/g9382?userType=anonymous
C-089,Gelatin from cold water fish,100g,9000-70-8,NR,S,0.2205,LB,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/g7765?userType=anonymous
C-090,Gelatin from porcine skin ~175g Bloom,100g,9000-70-8,NR,S,0.2205,LB,0/1/0/-,Gelatin,,[CAS 9000-70-8] Protein,https://www.sigmaaldrich.com/US/en/sds/sigma/g2625?userType=anonymous
C-091,Glucose Solution,100 mL,,NR,L,0.0264,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://www.sigmaaldrich.com/US/en/sds/sigma/49163?userType=anonymous
C-092,Glycine,500g + 100g,56-40-6,NR,S,1.3228,LB,1/0/0/-,Glycine,,[CAS 56-40-6] Amino acid,https://www.sigmaaldrich.com/US/en/sds/sigma/g7126?userType=anonymous
C-093,Guanidine hydrochloride,25g,50-01-1,NR,S,0.0551,LB,2/0/0/-,Guanidine Hydrochloride,,"[CAS 50-01-1] Denaturant, irritant only per IFC",https://www.sigmaaldrich.com/US/en/sds/sigma/g3272?userType=anonymous
C-094,Heparin Sodium salt from porcine intestinal mucosa,50 KU ,9041-08-1,NR,S,,,1/0/0/-,Heparin Sodium,,[CAS 9041-08-1] Anticoagulant biological,https://www.sigmaaldrich.com/US/en/sds/sial/h3149?userType=anonymous
C-095,Koliphor HS 15,1 kg,70142-34-6,NR,S,2.2046,LB,1/1/0/-,Kolliphor HS 15,,[CAS 70142-34-6] Solubilizer,https://www.sigmaaldrich.com/US/en/sds/sigma/42966?userType=anonymous
C-096,Kolliphor HS 15,1 kg,70142-34-6,NR,S,2.2046,LB,1/1/0/-,Kolliphor HS 15,,[CAS 70142-34-6] Solubilizer,https://ald-pub-files.oss-cn-shanghai.aliyuncs.com/aladdinsci/pdp/sds/1/K487242-SCI_bc5a0f599e4dd1fc088aae71f9bc10df.pdf
C-097,Lysis Buffer,,9036-19-5,NR,L,,,1/1/0/-,Octylphenoxypolyethoxyethanol,,[CAS 9036-19-5] Nonionic surfactant,https://cdn.caymanchem.com/cdn/msds/660990m.pdf
C-098,MES Hydrate,50g + 50g,1266615-59-1,NR,S,0.2205,LB,1/0/0/-,MES hydrate,,[CAS 1266615-59-1] Buffer,https://www.sigmaaldrich.com/US/en/sds/sigma/m2933?userType=anonymous
C-099,Magnesium cloride,100g,7786-30-3,NR,S,0.2205,LB,1/0/0/-,Magnesium Chloride,,[CAS 7786-30-3] Salt,https://www.sigmaaldrich.com/US/en/sds/sigma/m8266?userType=anonymous
C-100,Methylene Blue Solution,250 mL,7732-18-5; 7220-79-3,NR,L,0.066,GA,0/0/0/-; 1/1/0/-,Water,,[CAS 7732-18-5] Water | [CAS 7220-79-3] Dye (solution is NR),https://www.fishersci.com/store/msds?partNumber=S25430&productDescription=METHYLENE+BLUE+1%25+AQUEOUS+SOLU&vendorId=VN00115888&countryCode=US&language=en
C-101,Metronidazole 5 grams,5g,443-48-1,NR,S,0.011,LB,1/1/0/-,Metronidazole,,[CAS 443-48-1] Antibiotic,https://www.sigmaaldrich.com/US/en/sds/sigma/m1547?userType=anonymous
C-102,N-Hydroxysulfosuccinimide Sodium Salt,5g,106627-54-7,NR,S,0.011,LB,1/1/0/-,Sulfo-NHS,,[CAS 106627-54-7] Coupling reagent,https://www.fishersci.com/store/msds?partNumber=AC438650010&productDescription=N-HYDROXYSULFOSUCCINIMID+1GR&vendorId=VN00032119&countryCode=US&language=en
C-103,N-Lauroylsarcosine sodium salt,100g,137-16-6,NR,S,0.2205,LB,2/1/0/-,N-Lauroylsarcosine sodium,,"[CAS 137-16-6] Surfactant, irritant",https://www.sigmaaldrich.com/US/en/sds/sigma/l5125?userType=anonymous
C-104,"NH2-PEG-COOH, MW 5000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/Amine-PEG-Acid-SDS-NANOCS.pdf
C-105,"NH2-Peg-NH2, MW 5000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/Amine-PEG-Amine-SDS-NANOCS.pdf
C-106,"NHS-Peg-NHS, MW 5000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/NHS-PEG-NHS-SDS-NANOCS.pdf
C-107,"NHS2Peg-NH2, MW 40000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/Amine-PEG-Amine-SDS-NANOCS.pdf
C-108,PBS pH 7.4 (1x),1L ×2,,NR,S,0.5283,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/10010023_MTR-NALT_EN.pdf
C-109,PBS powder,~100g ×2,,NR,S,0.4409,LB,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://www.sigmaaldrich.com/US/en/sds/sigma/p5119?srsltid=AfmBOopUL2hBX6r7vtL2HXFNByObF1FWItM54O9py_pGMjBipR-oYmi1
C-110,Phosphate Buffered Saline .0067M,500 mL,7732-18-5; 7647-14-5; 7558-79-4; 7778-77-0; 7447-40-7,NR,L,0.1321,GA,0/0/0/-; 0/0/0/-; 1/0/0/-; 1/0/0/-; 0/0/0/-,Water,,[CAS 7732-18-5] Water | [CAS 7647-14-5] Salt | [CAS 7558-79-4] Buffer | [CAS 7778-77-0] Buffer | [CAS 7447-40-7] Salt,https://www.fishersci.com/store/msds?partNumber=BP24384&countryCode=US&language=en
C-111,Pierce Clear Milk Blocking Buffer (10x),10 mL,1303-96-4,NR,L,0.0026,GA,1/0/0/-,Sodium Tetraborate Decahydrate,,[CAS 1303-96-4] Trace in blocking buffer,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/RF8894_MTR-NARF_EN.pdf
C-112,"Pierce Elution Buffer, 35 ml",35 mL,,NR,L,0.0092,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/RF2232_MTR-NARF_EN.pdf
C-113,Pierce Rapid Gold BCA Protien Assay Reagent A,500 mL,7758-99-8,NR,L,0.1321,GA,2/0/0/-,Copper(II) Sulfate pentahydrate,,[CAS 7758-99-8] Component of BCA assay,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/1863382_MTR-NALT_EN.pdf
C-114,Pierce Rapid Gold BCA Protien Assay Reagent B,500 mL,7758-99-8,NR,L,0.1321,GA,2/0/0/-,Copper(II) Sulfate pentahydrate,,[CAS 7758-99-8] Component of BCA assay,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/23224_MTR-NALT_EN.pdf
C-115,Poloaxmer 188 solution,100 mL,,NR,L,0.0264,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/24040032_MTR-NALT_EN.pdf
C-116,"Poly(ethylene glycol) Bio Ultra 35,000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.sigmaaldrich.com/US/en/sds/sigma/94646?userType=anonymous
C-117,"Poly(ethylene glycol) Bio Ultra 4,000",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.sigmaaldrich.com/US/en/sds/sigma/95904?userType=anonymous
C-118,Poly(ethylene oxide),250g,25322-68-3,NR,S,0.5512,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.fishersci.com/store/msds?partNumber=AC178585000&productDescription=POLY+ETHYLENE+OXIDE+500GR&vendorId=VN00032119&countryCode=US&language=en
C-119,Polyethylene glycol 1000,1 kg + 50g,25322-68-3,NR,S,2.3149,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.fishersci.com/store/msds?partNumber=AAB221340B&productDescription=POLYETHYLENE+GLYCOL%2C+1000+1KG&vendorId=VN00024248&countryCode=US&language=en
C-120,Polysorbate 20,250 mL,9005-64-5,NR,L,0.066,GA,0/1/0/-,Polysorbate 20 (Tween 20),,[CAS 9005-64-5] Surfactant,https://cdn.caymanchem.com/cdn/msds/500410m.pdf
C-121,Potassium Carbonate,500g,584-08-7,NR,S,1.1023,LB,1/0/0/-,Potassium Carbonate,,[CAS 584-08-7] Irritant only,https://www.fishersci.com/store/msds?partNumber=P208500&productDescription=POT+CARBONATE+ANHY+CR+ACS+500G&vendorId=VN00033897&countryCode=US&language=en
C-122,Qdot 525 ITK carboxyl Quantum dots,5 mL,1303-96-4; 10043-35-3,NR,S,0.0013,GA,1/0/0/-; 1/0/0/-,Sodium Tetraborate Decahydrate,,"[CAS 1303-96-4] Trace in blocking buffer | [CAS 10043-35-3] Reprotoxicant (GHS), not IFC-regulated class",https://documents.thermofisher.com/TFS-Assets/LSG/SDS/Q21341MP_MTR-NALT_EN.pdf
C-123,Qdot 655 ITK carboxyl Quantum dots,5 mL,,NR,S,0.0013,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/Q21321MP_MTR-NALT_EN.pdf
C-124,Quenching Buffer TRIS Buffer Solution for RNA,2L,7731-18-5; 1185-53-1; 6381-92-6,NR,L,0.5283,GA,1/0/0/-; 1/0/0/-; 1/0/0/-,Tris component,,[CAS 7731-18-5] Buffer component (CAS listed matches a polymer - likely typo; Tris CAS is 77-86-1) | [CAS 1185-53-1] Buffer | [CAS 6381-92-6] Chelator,https://teknova-sds.s3.us-west-1.amazonaws.com/T0225.pdf
C-125,"Quenching Buffer, 25 ml",25 mL,,NR,L,0.0066,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://www.covaris.com/wp/wp-content/uploads/resources_pdf/pn_010220.pdf
C-126,Ranitidine hydrochloride,1g,66357-59-3,NR,S,0.0022,LB,1/1/0/-,Ranitidine hydrochloride,,[CAS 66357-59-3] H2 blocker drug,https://www.fishersci.com/store/msds?partNumber=AAB2226006&productDescription=RANITIDINE+HYDROCHLORIDE+5G&vendorId=VN00024248&countryCode=US&language=en
C-127,Sodium Bicarbonate,500g,144-55-8,NR,S,1.1023,LB,0/0/0/-,Sodium Bicarbonate,,[CAS 144-55-8] Baking soda,https://www.sigmaaldrich.com/US/en/sds/sigald/s6014?userType=anonymous
C-128,Sodium Citrate Tribasic,25g,6132-04-3,NR,S,0.0551,LB,0/1/0/-,Sodium Citrate Tribasic,,[CAS 6132-04-3] Salt,https://www.sigmaaldrich.com/US/en/sds/sial/s4641?srsltid=AfmBOopNLjKJwflHJupK5F0ks80EytChBXfQz7VBNkDp2EsqsoY5s05m
C-129,Sodium Phosphate dibasic,100g,7558-79-4,NR,S,0.2205,LB,1/0/0/-,Sodium Phosphate Dibasic,,[CAS 7558-79-4] Buffer,https://www.sigmaaldrich.com/US/en/sds/sigma/s5136?userType=anonymous
C-130,Sodium Sulfite,250g,7757-83-7,NR,S,0.5512,LB,1/0/0/-,Sodium Sulfite,,"[CAS 7757-83-7] Reducing agent, GHS irritant",https://www.sigmaaldrich.com/US/de/sds/SIAL/S4672?userType=undefined
C-131,Sodium chloride,250g,7647-14-5,NR,S,0.5512,LB,0/0/0/-,Sodium Chloride,,[CAS 7647-14-5] Salt,https://www.fishersci.com/store/msds?partNumber=S640500&productDescription=SODIUM+CHLORIDE+USP%2FFCC+500G&vendorId=VN00033897&countryCode=US&language=en
C-132,Sucrose,1 kg,57-50-1,NR,S,2.2046,LB,0/1/0/-,Sucrose,,[CAS 57-50-1] Sugar,https://www.sigmaaldrich.com/US/en/sds/sigma/s0389?userType=anonymous
C-133,Sulfo-NHS N-Hydroxysulfosuccinimide 500 mg,500 mg,106627-54-7,NR,S,0.0011,LB,1/1/0/-,Sulfo-NHS,,[CAS 106627-54-7] Coupling reagent,https://cdn.caymanchem.com/cdn/msds/20680m.pdf
C-134,SuperBlock (PBS) Blocking Buffer,10 mL,,NR,L,0.0026,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/37515_MTR-NALT_EN.pdf
C-135,Surfact Amps 20 - Specialized surfactant,6×10 mL ampoules ×2,,NR,S,0.0159,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/28321_MTR-NALT_EN.pdf
C-136,Surfact- Amps Tween 20,6×10 mL ampoules ×2,,NR,S,0.0159,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/28321_MTR-NALT_EN.pdf
C-137,TMB 10026245,1L,207738-08-7,NR,L,0.2642,GA,1/1/0/-,TMB (tetramethylbenzidine) solution,,[CAS 207738-08-7] Proprietary solution; neat TMB classified suspected carcinogen but working dilutions are NR,https://www.fishersci.com/store/msds?partNumber=AC229990010&productDescription=3%2C3%27%2C5%2C5%27-TETRAMETHYLBEN+1GR&vendorId=VN00032119&countryCode=US&language=en
C-138,Triglycerides mix 100 mg/ml,100 µL,,NR,L,0,GA,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://www.sigmaaldrich.com/US/en/sds/supelco/17810?userType=anonymous
C-139,Tris-buffered saline pH 7.4 (thermo scientific),2L,7732-18-5; 7647-14-5; 1185-53-1; 7447-40-7,NR,L,0.5283,GA,0/0/0/-; 0/0/0/-; 1/0/0/-; 0/0/0/-,Water,,[CAS 7732-18-5] Water | [CAS 7647-14-5] Salt | [CAS 1185-53-1] Buffer | [CAS 7447-40-7] Salt,https://documents.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ALFAAJ60764~~PDF~~MTR~~CLP1~~EN~~2024-03-21%2020:05:22~~TRIS-buffered%20saline%20(TBS%20%2010X
C-140,Tropix I-BLOCK,30g,,NR,S,0.0661,LB,,UNKNOWN,,No CAS listed - classification by SDS/name lookup required,https://documents.thermofisher.com/TFS-Assets/LSG/SDS/T2015_MTR-NALT_EN.pdf
C-141,Tween 20,250 mL,9005-64-5,NR,L,0.066,GA,0/1/0/-,Polysorbate 20 (Tween 20),,[CAS 9005-64-5] Surfactant,https://www.fishersci.com/store/msds?partNumber=AAJ20605&productDescription=keyword&vendorId=VN00024248&countryCode=US&language=en
C-142,Tween 80,1L,9005-65-6,NR,L,0.2642,GA,0/1/0/-,Polysorbate 80 (Tween 80),,[CAS 9005-65-6] Surfactant,https://www.cospheric.com/Shared/Public%20Documents/sds-tween-80.pdf
C-143,Tween 80 1L,1L,9005-65-6,NR,L,0.2642,GA,0/1/0/-,Polysorbate 80 (Tween 80),,[CAS 9005-65-6] Surfactant,https://www.fishersci.com/store/msds?partNumber=BP338500&productDescription=TWEEN+80+500ML&vendorId=VN00033897&countryCode=US&language=en
C-144,Urea,500g,57-13-6,NR,S,1.1023,LB,1/0/0/-,Urea,,[CAS 57-13-6] Amide,https://www.sigmaaldrich.com/US/en/sds/sigma/u5378?userType=anonymous
C-145,Vit D Stock 0.25 mg/ml,1 mL,67-97-0,NR,L,0.0003,GA,1/1/0/-,Cholecalciferol (Vit D3),,[CAS 67-97-0] Vitamin,https://www.fishersci.com/store/msds?partNumber=AAB2252406&productDescription=VITAMIN+D3+5G&vendorId=VN00024248&countryCode=US&language=en
C-146,Wash Buffer Concentrate (400x),,7758-11-4; 7778-77-0; 7732-18-5,NR,L,,,1/0/0/-; 1/0/0/-; 0/0/0/-,Potassium Phosphate Dibasic,,[CAS 7758-11-4] Buffer | [CAS 7778-77-0] Buffer | [CAS 7732-18-5] Water,https://cdn.caymanchem.com/cdn/msds/400062m.pdf
C-147,lithium dodecyl sulfate,25g + 5g,2044-56-6,NR,S,0.0661,LB,2/1/0/-,Lithium Dodecyl Sulfate,,"[CAS 2044-56-6] Surfactant, irritant",https://www.fishersci.com/store/msds?partNumber=AC413300250&productDescription=LITHIUM+DODECYL+SULFATE%2C+25GR&vendorId=VN00032119&countryCode=US&language=en
C-148,"mPEG Amine, mPEG-NH2, MW 40 kD",1g,25322-68-3,NR,S,0.0022,LB,0/1/0/-,Polyethylene Glycol (PEG),,[CAS 25322-68-3] Polymer - all PEG MWs,https://www.nanocs.net/document/MSDS/mPEG-Amine-SDS-NANOCS.pdf
C-149,sodium tetra borate,100g,1330-43-4,NR,S,0.2205,LB,1/0/0/-,Sodium Tetraborate (anhy),,[CAS 1330-43-4] Reprotoxicant (GHS) but not IFC class,https://www.fishersci.com/store/msds?partNumber=AC206291000&productDescription=SODIUM+TETRABORATE%2C+ANHY+100GR&vendorId=VN00032119&countryCode=US&language=en
